"birth_city","citizenship","pct_citizen","total_city_records"
"CAYCUMA","163",100,9
"CHELMNO","152",100,9
"DIYARBAKIR","163",66.7,9
"DUHOK","438",77.8,9
"GRUDZIADZ","152",100,9
"ILAWA","152",100,9
"KACANIK","150",66.7,9
"KAMISHLI","475",66.7,9
"KARSIYAKA","163",77.8,9
"KEMEROWO","160",66.7,9
"KNJAZEVAC","170",100,9
"LOGANESTI","154",66.7,9
"LUBLINIEC","152",100,9
"NOWOSIBIRSK","160",77.8,9
"OSTERODE","152",88.9,9
"PLESINA","170",66.7,9
"PYSKOWICE","152",100,9
"RYBNIK","152",100,9
"SARATOW","160",66.7,9
"STRASENI","154",66.7,9
"SWERDLOWSK","160",66.7,9
"SWIERKLANIEC","152",100,9
"TEHERAN","439",66.7,9
"TORUN","152",100,9
"URZICENI","154",77.8,9
"AL-HASAKA","475",75,8
"ARMASESTI","154",100,8
"BANOVICI","122",87.5,8
"BARNAUL","160",87.5,8
"BENIN","232",75,8
"BUDAPEST","165",62.5,8
"CRICIUMA","327",62.5,8
"DOLJ","154",100,8
"DUMBRAVENI","154",100,8
"DURRES","121",62.5,8
"ELAZIG","163",87.5,8
"ESKISEHIR","163",87.5,8
"ESME","163",75,8
"GALATI","154",100,8
"IGDIR","163",100,8
"ISTOK","170",62.5,8
"JASTRZEBIE ZDROJ","152",100,8
"KATOWICE","152",100,8
"KNUROW","152",100,8
"KONIGSHUTTE","152",100,8
"LISSABON","153",75,8
"MALAGA","161",62.5,8
"MERSIN","163",62.5,8
"PALERMO","137",62.5,8
"SEMEL","438",87.5,8
"SIEMIANOWICE SLASKIE","152",100,8
"STETTIN","152",87.5,8
"STIMLJE","170",62.5,8
"SWIETOCHLOWICE","152",100,8
"SZCZYTNO","152",100,8
"TALDY-KURGAN","444",75,8
"TARGOVISTE","154",100,8
"TIRANE","121",62.5,8
"TRABZON","163",75,8
"WODZISLAW SLASKI","152",100,8
"YOZGAT","163",100,8
"ZIELONA GORA","152",100,8
"ZLOTOW","152",100,8
"AFSIN","163",85.7,7
"AL SHAMAL","438",100,7
"BIHOR","154",85.7,7
"BISTRITA","154",100,7
"BLIDA","451",71.4,7
"BOTOSANI","154",100,7
"BOUARFA","252",71.4,7
"BUCURESTI","154",85.7,7
"BUZAU","154",100,7
"COMANESTI","154",100,7
"CZESTOCHOWA","152",100,7
"DARA","475",85.7,7
"DEIRAZZOR","475",85.7,7
"DOHUK","438",85.7,7
"DZIERZONIOW","152",100,7
"EDLIB","475",71.4,7
"FUSHE KOSOVE","150",71.4,7
"GLIWICE","152",100,7
"GORZOW WIELKOPOLSKI","152",100,7
"GRANADA","161",85.7,7
"HEYDEBRECK","152",100,7
"HUNEDOARA","154",100,7
"IDLEB","475",71.4,7
"JELENIA GORA","152",85.7,7
"KARAKOCAN","163",71.4,7
"KARLIOVA","163",85.7,7
"KARS","163",85.7,7
"KOBANI","475",71.4,7
"KOSOVKSKA MITROVICA","170",71.4,7
"KRAKOW","152",100,7
"KUTAHYA","163",85.7,7
"LAC","121",71.4,7
"LEBORK","152",100,7
"MAGURE","150",71.4,7
"MALATYA","163",85.7,7
"MAROC","252",100,7
"MEDIAS","154",85.7,7
"MRAGOWO","152",100,7
"MUS","163",100,7
"NEGRESTI-OAS","154",100,7
"NOWY SACZ","152",100,7
"ORTAKOY","163",85.7,7
"PRAHOVA","154",85.7,7
"PRUNA","161",100,7
"PSZCZYNA","152",100,7
"RAHOVEC","150",71.4,7
"RAMNICU SARAT","154",100,7
"REZALLE","150",71.4,7
"SAMALIA","154",71.4,7
"SARKISLA","163",100,7
"SEHITKAMIL","163",85.7,7
"SENJAR","438",100,7
"SENSBURG","152",85.7,7
"SLAVONSKI BROD","130",71.4,7
"TAVSANLI","163",100,7
"TIRGU MURES","154",71.4,7
"USAK","163",100,7
"WALBRZYCH","152",100,7
"WARSCHAU","152",85.7,7
"WARSZAWA","152",100,7
"ZALAU","154",85.7,7
"AKCAABAT","163",100,6
"AKCADAG","163",100,6
"AMOUDA","475",83.3,6
"ARAD","154",66.7,6
"ASTRACHANKA","444",100,6
"AVANOS","163",83.3,6
"BANGKOK","476",100,6
"BARBULESTI","154",100,6
"BEYLIKDUZU","163",66.7,6
"BEYSEHIR","163",100,6
"BIGADIC","163",100,6
"BITOLA","144",66.7,6
"BROMBERG","152",100,6
"BYTOW","152",100,6
"CADIZ","161",66.7,6
"CARAS-SEVERIN","154",100,6
"CHERSON","166",66.7,6
"CLUJ","154",100,6
"COSERNITA","154",100,6
"CZELADZ","152",100,6
"CZLUCHOW","152",100,6
"DAHOUK","438",83.3,6
"DEUTSCH PIEKAR","152",100,6
"DNIPROPETROWSK","166",100,6
"DOROHOI","154",66.7,6
"DZIALDOWO","152",100,6
"ELBLAG","152",100,6
"ELK","152",100,6
"EMET","163",100,6
"FAGARAS","154",100,6
"FALESTI","146",66.7,6
"FILIASI","154",100,6
"GEDIZ","163",100,6
"GJIROKASTER","134",66.7,6
"GORJ","154",100,6
"HACIBEKTAS","163",100,6
"INNSBRUCK","151",66.7,6
"ISPARTA","163",83.3,6
"JENDOUBA","285",100,6
"JERUSALEM","441",66.7,6
"KADIKOY","163",83.3,6
"KAHRAMANMARAS","163",66.7,6
"KARABUK","163",100,6
"KDZ EREGLI","163",100,6
"KDZ. EREGLI","163",100,6
"KLUCZBORK","152",100,6
"KONYA","163",83.3,6
"KOZUCHOW","152",100,6
"KRAPKOWICE","152",100,6
"KRUSEVAC","170",66.7,6
"LE KEF","285",83.3,6
"LENINGRAD","160",83.3,6
"LESNICA","152",83.3,6
"LESZCZYNY","152",100,6
"LOSLAU","152",100,6
"LUANDA","223",83.3,6
"MENZEL BOURGUIBA","285",66.7,6
"MESSINA","137",66.7,6
"MIERCUREA CIUC","154",66.7,6
"MORAG","152",83.3,6
"MYSLOWICE","152",100,6
"NEVSEHIR","163",100,6
"NIKSIC","140",83.3,6
"OLT","154",100,6
"ORADEA","154",66.7,6
"ORASTIE","154",100,6
"PASLEK","152",100,6
"PERSEMBE","163",100,6
"PILA","152",100,6
"PODUJEVE","150",83.3,6
"PORTO","153",100,6
"QAMISCHLI","475",66.7,6
"RADAUTI","154",83.3,6
"RIZE","163",66.7,6
"SAHINBEY","163",100,6
"SATU MARE","154",100,6
"SIBIU","154",100,6
"SINJAR","438",100,6
"SOSNOWIEC","152",100,6
"ST. PETERSBURG","160",66.7,6
"STAROGARD GDANSKI","152",100,6
"SUCEAVA","154",100,6
"SUDURAGI","163",100,6
"SURDULICA","170",83.3,6
"SZCZECIN","152",100,6
"TELEORMAN","154",100,6
"TETOVO","144",66.7,6
"TICHAU","152",100,6
"TIMIS","154",100,6
"TIRGOVISTE","154",100,6
"TREVISO","137",66.7,6
"TROINA","137",100,6
"TURKELI","163",100,6
"TYCHY","152",100,6
"UCKAVAK","163",83.3,6
"UKRAINE","166",66.7,6
"USSR","160",100,6
"VITORIA","327",66.7,6
"VITTORIA","137",100,6
"WASHINGTON","368",66.7,6
"WEISSRUSSLAND","169",66.7,6
"WIELOWIES","152",100,6
"WIELUN","152",100,6
"YESILYURT","163",100,6
"ZAJECAR","170",66.7,6
"ZENTA","165",66.7,6
"ZORY","152",100,6
"AFRIN","475",80,5
"AIN AL-ARAB","475",80,5
"AKMOLINSK","444",100,5
"AKSARAY","163",80,5
"ALKOSH","438",80,5
"ALTINTAS","163",100,5
"ANTALYA","163",80,5
"ARANDELOVAC","170",80,5
"AYANCIK","163",100,5
"AYDIN","163",80,5
"BAHCELIEVLER","163",80,5
"BEIUS","154",100,5
"BELLUNO","137",80,5
"BINGOL","163",100,5
"BJELOVAR","130",80,5
"BRAZZAVILLE","245",80,5
"CACERES","161",80,5
"CANKAYA","163",100,5
"CARSAMBA","163",100,5
"CHARKIW OBL.","166",100,5
"CHRZANOW","152",100,5
"COM. ARMASESTI JUD. IALOMITA","154",100,5
"CORIGLIANO","137",100,5
"COSEL","152",100,5
"DANZIG","152",100,5
"DEVELI","163",100,5
"DNIPRO","166",100,5
"DNIPROPETROWSK OBL.","166",100,5
"DOBRE MIASTO","152",100,5
"DRAGASANI","154",100,5
"DUZCE","163",100,5
"EL AAROUI","252",80,5
"ERZINCAN","163",80,5
"FES","252",80,5
"FETESTI","154",100,5
"GAESTI","154",80,5
"GAZIANTEP","163",80,5
"GDYNIA","152",100,5
"GLUCHOLAZY","152",100,5
"GOLBASI","163",100,5
"GOLUBOWKA","444",80,5
"GORAZDEVAC","170",80,5
"GUMUSHACIKOY","163",100,5
"HA TINH","432",100,5
"HERMANNSTADT","154",100,5
"HINIS","163",80,5
"HO CHI MINH","432",100,5
"HODMEZOVASARHELY","165",100,5
"ILZA","152",100,5
"IVRINDI","163",100,5
"JASTRZEBIE-ZDROJ","152",100,5
"KALETY","152",100,5
"KAMISCHLI","475",100,5
"KARA-BALTA","450",80,5
"KARAYAZI","163",80,5
"KAYNARCA","163",100,5
"KETRZYN","152",100,5
"KHAN ARNABA","475",100,5
"KIGI","163",100,5
"KLODZKO","152",100,5
"KONOTOP","166",100,5
"KOYU","163",100,5
"KOZAKLI","163",100,5
"KOZLU","163",100,5
"KRAKAU","152",100,5
"KRALJEVO","170",80,5
"KUNDUZ","423",100,5
"LEGNICA","152",80,5
"LEON","161",80,5
"LOBEN","152",100,5
"LUBLIN","152",100,5
"LWOWEK SLASKI","152",100,5
"MACKA","163",80,5
"MALA DOBRANJA","170",80,5
"MANISA","163",80,5
"MIASTKO","152",100,5
"MILOMLYN","152",100,5
"MIZIL","154",80,5
"MLAWA","152",100,5
"MYSLENICE","152",100,5
"NADAROWKA","444",80,5
"NAMYSLOW","152",100,5
"NEAMT","154",100,5
"NEGRESTI","154",100,5
"NEUDECK","152",100,5
"NIEMODLIN","152",100,5
"NINIVE","438",80,5
"NUORO","137",100,5
"NUSAYBIN","163",80,5
"NYSA","152",100,5
"OBERSCHLESIEN","152",100,5
"ODOBESTI","154",100,5
"OHIO","368",80,5
"ONESTI","154",100,5
"ORTELSBURG","152",80,5
"OS","152",100,5
"OSTROLEKA","152",100,5
"PATARLAGELE","154",100,5
"PECS","165",100,5
"PEISKRETSCHAM","152",100,5
"PITESTI","154",100,5
"POLSKA CEREKIEW","152",100,5
"POSEN","152",100,5
"PRUDNIK","152",100,5
"QUNAITRA","475",100,5
"QUNEITRA","475",100,5
"RADOMSKO","152",100,5
"RAGUSA","137",100,5
"RAWALPINDI","461",80,5
"RESKO","152",100,5
"ROSIORI DE VEDE","154",100,5
"RUSS.FODERATION","160",100,5
"RUSSISCHE FORDERATION","160",80,5
"SAVASTEPE","163",100,5
"SAVUR","163",80,5
"SETUBAL","153",100,5
"SIEMIANOWICE","152",100,5
"SIKLOS","165",80,5
"SIMAV","163",100,5
"SINDSCHAR","438",100,5
"SIRAN","163",100,5
"SISLI","163",100,5
"SIVAS","163",80,5
"SLATINA","154",80,5
"SP","327",80,5
"SULAIMANIYAH","438",80,5
"SUMY","166",80,5
"SZABADKA","165",100,5
"TARGU MURES","154",80,5
"TARNAVENI","154",100,5
"TARTOUS","475",80,5
"TASNAD","154",80,5
"TAZA","252",80,5
"TCZEW","152",100,5
"TETOUAN","252",80,5
"THORN","152",100,5
"TOMASZOW LUBELSKI","152",100,5
"TULCEA","154",80,5
"TUNCELI","163",100,5
"ULUBEY","163",100,5
"VADU CRISULUI","154",100,5
"VALCEA","154",100,5
"VARNA","125",100,5
"VENLO","148",80,5
"VILNIUS","142",80,5
"VISEGRAD","122",100,5
"VRSAC","170",80,5
"WLOCLAWEK","152",100,5
"WODZISLAW","152",100,5
"YARMOUK","475",80,5
"YAZICEPNI","163",100,5
"ZABKOWICE SLASKIE","152",100,5
"ZAIO","252",80,5
"ZAKHO","438",80,5
"ZBROSLAWICE","152",100,5
"ADRANO","137",100,4
"AGDAL","252",75,4
"AGNITA","154",100,4
"AGRI","163",100,4
"AIN ALARAB","475",100,4
"AKHISAR","163",100,4
"AKPINAR","163",100,4
"AL KOSH","438",75,4
"ALHASKA","475",75,4
"ALICANTE","161",100,4
"ALKOUSH","438",100,4
"ALQOSH","438",100,4
"ALTINDAG","163",100,4
"AMASYA","163",100,4
"AMUDA","475",75,4
"ARNHEM","148",75,4
"ASAGIGOCEK","163",100,4
"ASAL ALWARD","475",75,4
"ASBEST","160",75,4
"BAIDA","475",75,4
"BALAN","154",75,4
"BATMAN","163",75,4
"BEN TRE","432",100,4
"BENI BOUAYACH","252",75,4
"BENI SIDEL","252",100,4
"BIALYSTOK","152",100,4
"BINXHE","150",100,4
"BISKUPIEC","152",100,4
"BISONO","335",100,4
"BOGOTA","349",75,4
"BONARCADO","137",100,4
"BRADASH","150",75,4
"BUGA","163",75,4
"BUGOJNO","130",75,4
"BUJANOVAC","170",75,4
"BULANIK","163",100,4
"BURLA","160",75,4
"CALI","349",75,4
"CALOVA","163",100,4
"CAPLJINA","130",75,4
"CARANSEBES","154",100,4
"CARBUNESTI","154",100,4
"CAYKARA","163",100,4
"CESIS","139",75,4
"CHARKIW","166",100,4
"CHOJNICE","152",100,4
"CICEKDAGI","163",100,4
"CIECHANOW","152",100,4
"CIESZYN","152",100,4
"CIEZKOWICE","152",100,4
"CIMISLIA","154",75,4
"CINARDIBI","163",100,4
"CONEGLIANO","137",100,4
"CORIGLIANO CALABRO","137",100,4
"CORUM","163",100,4
"CUPRIJA","170",100,4
"DABROWA GORNICZA","152",100,4
"DABROWNO","152",100,4
"DARMANESTI","154",100,4
"DEBNO","152",100,4
"DEIRZZOR","475",75,4
"DELICETO","137",100,4
"DIMITROVGRAD","125",75,4
"DINAR","163",75,4
"DIRSCHAU","152",100,4
"DNEPROPETROWSK","166",100,4
"DOBRODZIEN","152",100,4
"DOBRUSA","170",75,4
"DOLAC","130",75,4
"DONEZK OBL.","166",100,4
"DRAMATAL","152",100,4
"DUBROVNIK","130",75,4
"DUGE","150",75,4
"DZIERZGON","152",100,4
"EMIRDAG","163",100,4
"EST","127",75,4
"FAIDA","438",100,4
"FLORIDA","368",100,4
"FOCA","122",100,4
"FUSHE","150",75,4
"GALIZKOJE","444",75,4
"GIRESUN","163",100,4
"GIRONA","161",75,4
"GLLOBAR","150",100,4
"GLLOGOC","150",75,4
"GLUBCZYCE","152",100,4
"GOKCEBEY","163",100,4
"GOLE","163",100,4
"GOLENIOW","152",100,4
"GORELE","163",100,4
"GORIS","425",75,4
"GRAUDENZ","152",100,4
"GUIMARAES","153",75,4
"GUMUSDAMLA","163",100,4
"GUMUSHANE","163",100,4
"HAJIN","475",75,4
"HALEP","475",75,4
"HALLAQ I VOGEL","150",75,4
"HANOI","432",100,4
"HARGHITA","154",100,4
"HARYANA","436",75,4
"HASKOVO","125",100,4
"HENGELO","148",75,4
"HOREZU","154",100,4
"INEGOL","163",100,4
"ISKENDERUN","163",100,4
"JEREZ DE LA FRONTERA","161",100,4
"JUD.PH MUN.PLOIESTI","154",100,4
"KAPISA","423",75,4
"KAVAK","163",100,4
"KEBDANA","252",100,4
"KECIBORLU","163",100,4
"KECIOREN","163",100,4
"KEDZIERZYN","152",100,4
"KEMALPASA","163",100,4
"KEPSUT","163",100,4
"KERKUK","438",75,4
"KESAN","163",100,4
"KILIMLI","163",100,4
"KIRAZ","163",100,4
"KIRIKHAN","163",75,4
"KOCASINAN","163",100,4
"KOCK","152",100,4
"KOLOBRZEG","152",100,4
"KOMOTINI","134",75,4
"KORCE","121",100,4
"KOSZECIN","152",100,4
"KOZLE","152",100,4
"KRAGUJEVAC","170",100,4
"KRAMOVIK","150",75,4
"KRAPPITZ","152",100,4
"KREUZBURG","152",100,4
"KRIM","166",75,4
"KROSNO ODRZANSKIE","152",100,4
"KURUCASILE","163",100,4
"KUSTANAI","444",100,4
"KWIDZYN","152",100,4
"LA CORUNA","161",100,4
"LACIN","425",75,4
"LAS PALMAS","161",75,4
"LEVSKI","125",75,4
"LOMZA","152",100,4
"LUGOJ","154",75,4
"MADAYA","475",100,4
"MALAPANE","152",100,4
"MALBORK","152",100,4
"MANGALIA","154",100,4
"MARAS","163",100,4
"MARASESTI","154",100,4
"MARIUPOL","166",100,4
"MAZOUJA","252",75,4
"MEDGIDIA","154",100,4
"MEHEDINTI","154",100,4
"MEXIKO-STADT","353",100,4
"MICHAJLOWKA","160",75,4
"MOHASAN","475",100,4
"MOINESTI","154",100,4
"MOLDOVA NOUA","154",100,4
"MONASTIR","285",100,4
"MOSSUL","438",100,4
"MUN. URZICENI JUD. IALOMITA","154",100,4
"MURES","154",100,4
"NABEUL","285",75,4
"NAKHON RATCHASIMA","476",100,4
"NAM DINH","432",100,4
"NAPOLI","137",75,4
"NASICE","130",100,4
"NIDZICA","152",100,4
"NOWA SOL","152",100,4
"ODEMIS","163",100,4
"OGULCUK","163",100,4
"OLESNICA","152",100,4
"OMERLI","163",75,4
"ORDU","163",100,4
"ORLOWKA","160",100,4
"ORZESZE","152",100,4
"OSMANCIK","163",100,4
"OULED HAFFOUZ","285",75,4
"OZIMEK","152",100,4
"PARACIN","170",75,4
"PAVLODARSKAYA","444",100,4
"PAZARCIK","163",75,4
"PERM","160",75,4
"PHNOM PENH","446",75,4
"PIOTRKOW TRYBUNALSKI","152",100,4
"PISZ","152",100,4
"PJETERQ","150",100,4
"PJETERQ I EPERM","150",100,4
"POLEWOJE","160",100,4
"PRIBOJ","122",75,4
"PRIOSERSK","166",100,4
"PROGRESS","160",100,4
"PRZEMYSL","152",100,4
"PUCK","152",100,4
"PUERTOLLANO","161",100,4
"PULA","130",75,4
"PULUMUR","163",75,4
"RADZIONKOW","152",100,4
"RANYA","438",100,4
"RAQA","475",75,4
"RASTOSNICA","122",75,4
"RAYONG","476",100,4
"REPNIK","122",100,4
"RESADIYE","163",100,4
"RESZEL","152",100,4
"ROSSEL","152",100,4
"ROSTOW AM DON","160",75,4
"RUDGERSHAGEN","152",100,4
"RUDZINIEC","152",100,4
"RUS","166",75,4
"RUSS.FOD.","444",75,4
"RUSSLAND","160",75,4
"RZESZOW","152",100,4
"SALERNO","137",100,4
"SALVADOR","327",75,4
"SAMANDAG","163",75,4
"SAMSUN","163",100,4
"SC","327",100,4
"SCHIEDAM","148",75,4
"SCHWIENTOCHLOWITZ","152",100,4
"SCHYTOMYR","166",75,4
"SCIACCA","137",75,4
"SELOUANE","252",100,4
"SENBAGLAR","163",100,4
"SERRES","134",100,4
"SEYHAN","163",100,4
"SFAX","285",75,4
"SHEKAN","438",75,4
"SHEKHAN","438",75,4
"SHIKHAN","438",100,4
"SHTIME","150",75,4
"SHTIP","144",75,4
"SIAULIAI","142",75,4
"SIBENIK","130",100,4
"SIGHISOARA","154",75,4
"SINDIRGI","163",100,4
"SINOP","163",100,4
"SLIVEN","125",75,4
"SLUBICE","152",100,4
"SOMA","163",100,4
"SOSNOWITZ","152",100,4
"SOUR","451",75,4
"STAROGARD","152",100,4
"STRUGA","144",100,4
"SUDINE","122",100,4
"SULECHOW","152",100,4
"SUWALKI","152",100,4
"SWAIDA","475",75,4
"SWIECIE","152",100,4
"SYCOW","152",100,4
"TAIPEH","465",100,4
"TAJOURA","248",75,4
"TALKEF","438",100,4
"TALLIN","127",75,4
"TAMIL NADU","436",100,4
"TANDAREI","154",100,4
"TASHKENT","477",75,4
"TASOVA","163",75,4
"TAWRITSCHESKOJE","160",75,4
"TEKIRDAG","163",100,4
"TELENESTI","154",75,4
"TELKEF","438",100,4
"TENDRARA","252",75,4
"TERPEZE","150",75,4
"THAI BINH","432",100,4
"TOMAR","153",100,4
"TONYA","163",100,4
"TORRES VEDRAS","153",75,4
"TOUISSIT","252",100,4
"TOVUZ","425",75,4
"TRENCIN","155",100,4
"TSCHERNIGOW","166",100,4
"TURNU MAGURELE","154",100,4
"TUZLUCA","163",75,4
"UDON THANI","476",100,4
"ULUS","163",100,4
"UNYE","163",100,4
"URGUP","163",100,4
"USKUDAR","163",75,4
"UZICE","170",75,4
"VAKFIKEBIR","163",100,4
"VALLADOLID","161",75,4
"VELIKI TRNOVCI","130",75,4
"VICTORIA","154",75,4
"VILCEA","154",100,4
"VIRANSEHIR","163",100,4
"VITORIA-GASTEIZ","161",75,4
"VLASENICA","122",100,4
"VRSEVCE","170",75,4
"WABRZEZNO","152",100,4
"WAKEFIELD","168",100,4
"WALCZ","152",100,4
"XANTHI","134",75,4
"YAHYALI","163",100,4
"YARMUK","997",75,4
"YAZICI","163",100,4
"YENICE","163",100,4
"YESILDERE","163",75,4
"ZAGAN","152",100,4
"ZAMBROW","152",100,4
"ZBLEWO","152",100,4
"ZEBOWICE","152",100,4
"ZELEZNIK","170",100,4
"ZGORZELEC","152",100,4
"ZILINA","155",75,4
"ZIVINICE GORNJE","130",75,4
"ZLOTORYJA","152",100,4
"ZUROMIN","152",100,4
"ZYWIEC","152",100,4
"ABA","232",100,3
"ABINSK","160",100,3
"ABLIN","475",66.7,3
"ABRANTES","153",100,3
"ADAPAZARI","163",100,3
"ADDIS ABEBA","224",66.7,3
"ADEN","421",66.7,3
"ADLOUN","451",100,3
"ADSIZ","163",100,3
"ADUNATII-COPACENI","154",100,3
"AFYON","163",100,3
"AFYONKARAHISAR","163",100,3
"AGACOREN","163",100,3
"AGYPTEN","287",66.7,3
"AITONA","161",66.7,3
"AKKUS","163",100,3
"AKSEHIR","163",100,3
"AKSEKI","163",100,3
"AKSU","444",66.7,3
"AKURE","232",66.7,3
"AL HAJAR AL ASWAD","475",100,3
"AL HASSAKE","475",100,3
"AL HOCEIMA","252",66.7,3
"AL SULAYMANEYAH","438",100,3
"AL-AIN","475",66.7,3
"ALACA","163",100,3
"ALBA IULIA","154",100,3
"ALBASRA","475",66.7,3
"ALBLASSERDAM","148",66.7,3
"ALCALA DEL VALLE","161",100,3
"ALHASAKA","475",66.7,3
"ALIA","137",66.7,3
"ALIJO","153",100,3
"ALKMAAR","148",66.7,3
"ALKUWAIT","475",100,3
"ALMA ATA","166",66.7,3
"ALMANYA","163",100,3
"ALRAMADI","475",66.7,3
"ALRIAD","475",100,3
"ALSAIDA ZAINAB","475",100,3
"ALUCRA","163",100,3
"AMARANTE","153",100,3
"ANTAKYA","163",66.7,3
"ARAKLI","163",100,3
"ARALIK","163",100,3
"ARAR","445",66.7,3
"ARDAHAN","163",100,3
"ARGES","154",100,3
"ARGOS","125",66.7,3
"ARPACAY","163",100,3
"ARSALAN TASH","475",100,3
"ARTOUZ","475",66.7,3
"ARTOVA","163",100,3
"ASKALE","163",100,3
"ATTOCK","461",66.7,3
"AVCILAR","163",66.7,3
"AYNTAP","166",66.7,3
"AYTOS","125",66.7,3
"AZAAZ","475",100,3
"BABYLON","438",100,3
"BAC","170",100,3
"BACESTI","154",100,3
"BADAJOZ","161",100,3
"BAFRA","163",100,3
"BAGBASI","163",100,3
"BAGHDAD","438",100,3
"BAGHERIA","137",100,3
"BAIA MARE","154",100,3
"BAICOI","154",100,3
"BAILESTI","154",100,3
"BALCHIK","125",66.7,3
"BALTIMORE","368",66.7,3
"BANDEIRANTES","327",66.7,3
"BARAOLT","154",66.7,3
"BARDEJOV","131",66.7,3
"BARLAD","154",100,3
"BARLINEK","152",100,3
"BARUERI","327",66.7,3
"BASRA","438",100,3
"BAYBURT","163",100,3
"BEBAN","438",66.7,3
"BEGENDIKLER","163",100,3
"BEGOWAL","436",66.7,3
"BEIT OMMAR","459",100,3
"BELCESTI","154",100,3
"BELLACERKE","150",100,3
"BEN TAIEB","252",100,3
"BENALMADENA","161",66.7,3
"BENGHAZI","248",66.7,3
"BENI SAID","252",66.7,3
"BERLIN-KREUZBERG","163",66.7,3
"BESIRI","163",100,3
"BIALOGARD","152",100,3
"BIBEROVO POLJE","122",66.7,3
"BIELSKO BIALA","152",100,3
"BIESAL","152",100,3
"BISCHOFSBURG","152",100,3
"BISMIL","163",100,3
"BNI SIDEL JBEL","252",66.7,3
"BOCSA","154",100,3
"BOKE","261",66.7,3
"BOLTON","154",66.7,3
"BOLU","163",100,3
"BORNOVA","163",100,3
"BORSA","154",100,3
"BRAGA","153",66.7,3
"BRESTOC","150",100,3
"BRINDISI","137",66.7,3
"BRIXEN","285",66.7,3
"BRODNICA","152",100,3
"BUDISALC","150",100,3
"BULGARIEN","125",100,3
"BULGARISTAN","163",100,3
"BURGAS","125",66.7,3
"BURI RAM","476",100,3
"BUYUKCEKMECE","163",100,3
"BYSTRZYCA KLODZKA","152",100,3
"CABIQ","150",66.7,3
"CAKOVEC","130",100,3
"CAL","163",100,3
"CALABRO","137",100,3
"CAMPENI","154",100,3
"CAMPINA","154",100,3
"CAMPULUNG MOLDOVENESC","154",100,3
"CANKIRI","163",100,3
"CARALLUKE","150",66.7,3
"CARAVIK","170",66.7,3
"CARBONIA","137",66.7,3
"CARDAK","163",66.7,3
"CARRABREG I ULET","150",66.7,3
"CAXIAS DO SUL","327",66.7,3
"CAYENNE","129",100,3
"CAYIRALAN","163",100,3
"CEMALLER","163",100,3
"CERMIK","163",100,3
"CEROVIK","150",66.7,3
"CEYLANPINAR","163",66.7,3
"CHABAROWSK","160",66.7,3
